row,permalink,posted_at,stage,format,caption,is_partnership,cta_keyword
1,https://www.instagram.com/reel/C2a76VhC2Po/,2024-01-22 23:28,Cohort launch,reel,"Comment “WAITLIST” if you want to learn how! 

Doors are closing tomorrow for our program Powerful: Peri to Post - a 30 day program that helps you navigate peri/menopause through nutrition, strength training, movement, sleep and stress management💪🏼✨

#menopause #perimenopause",false,WAITLIST
2,https://www.instagram.com/reel/C3Q3pjSMd-3/,2024-02-12 22:07,Cohort launch,reel,"Anyone here experienced “lightening f@nny?”😅 Love this @callybeatoncomedian 🤣🤍

#perimenopause #menopause",false,
3,https://www.instagram.com/reel/C5JBk7kvRe6/,2024-03-30 14:02,Cohort launch,reel,"Tell me you you know this feeling!!🥵 You just know when a hot flash is coming on: it can feel like heart palpitations, panic, anxiety, an inner volcano about to erupt🌋 

Let’s hear it - how does it feel to you?

There’s a lot you can do to support yourself with hot flashes: avoiding triggers such as caffeine, alcohol, sugar and spicy food. Stress and anxiety can also be a trigger, so utilising tools to reduce these can be very helpful - this can be through daily movement, resistance training, time in nature, grounding or breathwork. A conversation with your doctor about hormone therapy can also support you.

Keeping blood sugar balanced and anti-inflammatory nutrition are a great place to start. I've put together a Nutrition Cheatsheet to support with your hot flashes (and many other symptoms!).

Comment CHEATSHEET and I’ll send it over to you🤍

You don’t have to suffer through this! 

Credit: @spaceinnutshell @wiwi_meyer",false,CHEATSHEET
4,https://www.instagram.com/reel/C5tSoknM5jH/,2024-04-13 16:06,Cohort launch,reel,This resonates so deeply - thank you @katecbowler for putting this into words🤍,false,
5,https://www.instagram.com/reel/C6AHTVTsxqr/,2024-04-20 23:30,Cohort launch,reel,"Has peri made you less tolerant to loud chewers (and breathers)?!😑 Let’s hear it - what else drives you crazy now that didn’t before?!

Credit: @bunquystoc @futuremindreader

#perimenopause #menopause",false,
6,https://www.instagram.com/reel/C6cPYiAsIcv/,2024-05-01 21:44,Cohort launch,reel,"Depression is a serious problem in perimenopause. Please know you’re not alone. This is a good reminder to reach out to, connect with and check in with other midlife women.

If things feel really unmanageable for you right now, please seek help - speak to your healthcare provider. Speak to a menopause specialist. Move your body. Get out in nature. Go for a walk. Start a gratitude practice. Try Cognitive Behavioural Therapy. 

Are you struggling with depression? Share so we can support each other🤍

Credit: @guardian 

#depression #perimenopause #menopause",false,
7,https://www.instagram.com/reel/C7P-F4ZiQg_/,2024-05-21 23:53,Cohort launch,reel,"When your try to hold it in and then explode… can you relate?!

Credit: 🎬 Minions

#menopause #perimenopause",false,
8,https://www.instagram.com/reel/C8py_KaMU1U/,2024-06-25 21:06,Cohort launch,reel,"One of our beautiful community members has asked this very important midlife question: which deoderant is working for you - for the smell and for the sweat.

Let’s pool our collective experience and help each other out!

I use either The Ordinary Glycolic Acid or @getfussy 

What’s working for you? Share your tips below!!",false,
9,https://www.instagram.com/reel/C8vE_mUsRXY/,2024-06-27 22:19,Cohort launch,reel,"Who’s with me?!🙋‍♀️ Lifting weights for my old lady body💪🏼💃

Credit: @jessmnolt",false,
10,https://www.instagram.com/reel/C-ijj03MJBY/,2024-08-11 18:41,Evergreen PPP,reel,"My client had tried EVERYTHING to shift the stubborn weight she’d gained in perimenopause. And blood tests showed her she HAD to make a change as her blood sugar markers were creeping up to a place she wasn’t happy with.

She joined our program in January and followed our P3 Method of eating and our Peri Power Method of training - all in less than 30 minutes a day (with 2 rest days).

She was shocked at how achievable it was and now feels fitter and stronger than she thought was possible - even keeping up with her adult children skiing and hiking more comfortably than ever before. And her clothes fit better. It’s become a lifestyle that she is following that leaves her feeling energized and never restricted.

We focus on reducing inflammation, building a high functioning metabolism and decreasing peri/menopause symptoms through nutrition, building muscle, movement, sleep and managing stress/calming the nervous system.

You can learn the 3 Step Method by registering for my FREE masterclass where I break it all down.

Comment: MASTERCLASS and then check your DM’s where you can save your seat.

#perimenopause #menopause",false,MASTERCLASS
